subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
142,-2.8197055139974485,-2.8376889277953725,-2.8447954587026993,30050.57010410461
143,-2.819731318208643,-2.837690573844771,-2.8450003869623717,30050.57010410461
144,-2.819757402735786,-2.8377063900266815,-2.8451781259422084,30050.57010410461
145,-2.819797191021694,-2.837706390026668,-2.8452791086810114,31956.22059011741
146,-2.819838339559675,-2.837706390026668,-2.845368445887852,31956.22059011741
147,-2.8198383395596704,-2.837706390026665,-2.845601921840207,31956.22059011741
148,-2.819838339559661,-2.837706390026676,-2.845795216818196,31956.22059011741
149,-2.8198383395596704,-2.8377063900266726,-2.8459375694477353,31956.22059011741
150,-2.8198383395596665,-2.8377063900266752,-2.846076006365454,31956.22059011741
151,-2.8198383395596736,-2.8378012829529564,-2.8462220178629827,35131.07103630053
152,-2.819838339559675,-2.837882481768286,-2.846351789704164,35131.07103630053
153,-2.8198383395596704,-2.837882481768286,-2.8464921396610916,36586.40440832346
154,-2.8198383395596656,-2.837882481768292,-2.846622539173197,36586.40440832346
155,-2.8198484698511743,-2.8378824817682804,-2.8467251722575875,36586.40440832346
156,-2.8198584717504516,-2.837882481768284,-2.8468092245480023,36586.40440832346
157,-2.819858471750442,-2.837882481768289,-2.846845475101651,36586.40440832346
158,-2.8198584717504485,-2.8378824817682866,-2.8468744058035726,36586.40440832346
159,-2.819858471750455,-2.8379855445995683,-2.8469142808168644,39128.63082837639
160,-2.8198584717504547,-2.838071557353681,-2.846941469333111,39128.63082837639
161,-2.819872355441034,-2.8381414982927256,-2.8469551503672226,39566.99002006954
162,-2.819887166858403,-2.8381990306561264,-2.8469703998038676,39566.99002006954
163,-2.8198970536625696,-2.8382025499723422,-2.8469824957054186,41636.047224666996
164,-2.819906788550241,-2.8382060682593555,-2.8469960035885444,41636.047224666996
165,-2.819920685965376,-2.838259109797781,-2.8470153017459694,41636.047224666996
166,-2.8199356550095485,-2.838311566753504,-2.8470375470653146,41636.047224666996
167,-2.819935655009545,-2.8383292644638134,-2.847053702206343,41636.047224666996
168,-2.81993565500955,-2.8383491967841428,-2.8470678484002314,41636.047224666996
