bond_length,subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,fci_energy,rhf_energy,uhf_energy
2.0,80,-2.8207238005259896,-2.838089319495705,-2.8360735956692835,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,81,-2.8208215900731384,-2.8381029364399053,-2.836524258077413,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,82,-2.8209025461240564,-2.838114016251213,-2.8368079402281245,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,83,-2.821027664427765,-2.8381497888224683,-2.8370403109760516,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,84,-2.821167203236977,-2.838179617490814,-2.8373729435843207,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,85,-2.821380141141179,-2.8382960557443626,-2.8375428330623214,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,86,-2.8215572810255716,-2.8384076281196116,-2.8376819835096927,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,87,-2.8225081257209546,-2.838559949852913,-2.83786576542486,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,88,-2.823888810150217,-2.8387069954745123,-2.8379974312952885,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,89,-2.824005991320564,-2.838746648168101,-2.8383791509351304,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,90,-2.8241351596966706,-2.838961628077795,-2.838956172923555,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,91,-2.8249330205928915,-2.839033626962378,-2.8397432522545176,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,92,-2.8260453162661165,-2.839117470820685,-2.8410399453324393,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,93,-2.826072338202634,-2.839167242727958,-2.8411239487003015,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,94,-2.8261050236886036,-2.8393521083888054,-2.841208991932677,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,95,-2.8263368143467025,-2.8395086923800417,-2.8412278775615225,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,96,-2.8265969486280773,-2.839630979861163,-2.841251719251079,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,97,-2.831161859999341,-2.839932495258293,-2.841354166863563,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,98,-2.8395577297378005,-2.8402960277317457,-2.8414586884238653,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,99,-2.839695204406812,-2.8403080731325265,-2.8414869142814623,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,100,-2.8398650184373464,-2.840370982446581,-2.8415248978576018,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,101,-2.8400184013577467,-2.840443216769913,-2.841567811904935,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,102,-2.840237760271796,-2.8404768293209623,-2.841614202149468,-2.847192133955601,-2.368421284279994,-2.8194898991254087
