subspace_size,fci_subspace_energy,fci_energy
137,-2.8441736452645583,-2.847192133955601
138,-2.8442644439611287,-2.847192133955601
139,-2.844417570527474,-2.847192133955601
140,-2.844591616506855,-2.847192133955601
141,-2.8446983825793457,-2.847192133955601
142,-2.8447954587027042,-2.847192133955601
143,-2.845000386962362,-2.847192133955601
144,-2.845178125942221,-2.847192133955601
145,-2.84527910868101,-2.847192133955601
146,-2.8453684458878463,-2.847192133955601
147,-2.845601921840211,-2.847192133955601
148,-2.8457952168181953,-2.847192133955601
149,-2.8459375694477322,-2.847192133955601
150,-2.84607600636545,-2.847192133955601
151,-2.8462220178629707,-2.847192133955601
152,-2.8463517897041606,-2.847192133955601
153,-2.846492139661091,-2.847192133955601
154,-2.8466225391731914,-2.847192133955601
155,-2.846725172257572,-2.847192133955601
156,-2.8468092245480054,-2.847192133955601
157,-2.8468454751016594,-2.847192133955601
158,-2.84687440580356,-2.847192133955601
159,-2.8469142808168635,-2.847192133955601
160,-2.8469414693331054,-2.847192133955601
161,-2.846955150367219,-2.847192133955601
162,-2.846970399803867,-2.847192133955601
163,-2.846982495705421,-2.847192133955601
164,-2.846996003588532,-2.847192133955601
165,-2.8470153017459734,-2.847192133955601
166,-2.847037547065313,-2.847192133955601
167,-2.8470537022063334,-2.847192133955601
168,-2.8470678484002265,-2.847192133955601
169,-2.8470850116796207,-2.847192133955601
170,-2.8471050207718283,-2.847192133955601
171,-2.847117818171801,-2.847192133955601
172,-2.847127746192529,-2.847192133955601
173,-2.847134184334499,-2.847192133955601
174,-2.8471413632582094,-2.847192133955601
175,-2.847144963441912,-2.847192133955601
176,-2.8471482615974,-2.847192133955601
177,-2.8471500280198536,-2.847192133955601
178,-2.8471519422081744,-2.847192133955601
179,-2.8471545972053702,-2.847192133955601
180,-2.8471571256855963,-2.847192133955601
181,-2.847163595414223,-2.847192133955601
182,-2.8471703785682054,-2.847192133955601
183,-2.8471710816333724,-2.847192133955601
184,-2.8471718352608457,-2.847192133955601
185,-2.847174120366155,-2.847192133955601
186,-2.8471759049081355,-2.847192133955601
187,-2.8471772075621398,-2.847192133955601
188,-2.8471787382901956,-2.847192133955601
189,-2.847179930941863,-2.847192133955601
190,-2.84718150515102,-2.847192133955601
191,-2.847183654772682,-2.847192133955601
192,-2.8471850889021435,-2.847192133955601
193,-2.8471867529065387,-2.847192133955601
194,-2.8471892284624567,-2.847192133955601
195,-2.8471897675236373,-2.847192133955601
196,-2.8471903590311167,-2.847192133955601
197,-2.847190782023572,-2.847192133955601
198,-2.8471912486047226,-2.847192133955601
199,-2.8471916815728853,-2.847192133955601
200,-2.847192133955599,-2.847192133955601
201,-2.8471921339556086,-2.847192133955601
202,-2.8471921339556014,-2.847192133955601
203,-2.847192133955605,-2.847192133955601
204,-2.8471921339556023,-2.847192133955601
205,-2.847192133955614,-2.847192133955601
206,-2.8471921339556086,-2.847192133955601
207,-2.8471921339556108,-2.847192133955601
208,-2.847192133955607,-2.847192133955601
209,-2.847192133955598,-2.847192133955601
210,-2.8471921339556046,-2.847192133955601
211,-2.8471921339556117,-2.847192133955601
212,-2.8471921339556,-2.847192133955601
213,-2.8471921339555935,-2.847192133955601
214,-2.8471921339555983,-2.847192133955601
215,-2.847192133955608,-2.847192133955601
216,-2.847192133955594,-2.847192133955601
217,-2.847192133955609,-2.847192133955601
218,-2.847192133955598,-2.847192133955601
219,-2.847192133955598,-2.847192133955601
220,-2.8471921339555943,-2.847192133955601
221,-2.8471921339556054,-2.847192133955601
222,-2.847192133955607,-2.847192133955601
223,-2.8471921339556023,-2.847192133955601
224,-2.8471921339556046,-2.847192133955601
225,-2.8471921339556014,-2.847192133955601
226,-2.8471921339555872,-2.847192133955601
227,-2.8471921339556028,-2.847192133955601
228,-2.847192133955601,-2.847192133955601
229,-2.8471921339556103,-2.847192133955601
230,-2.8471921339556103,-2.847192133955601
231,-2.8471921339556086,-2.847192133955601
232,-2.847192133955599,-2.847192133955601
233,-2.8471921339556077,-2.847192133955601
234,-2.8471921339556108,-2.847192133955601
235,-2.8471921339555966,-2.847192133955601
236,-2.8471921339555926,-2.847192133955601
237,-2.8471921339556125,-2.847192133955601
238,-2.84719213395561,-2.847192133955601
239,-2.847192133955605,-2.847192133955601
240,-2.8471921339555974,-2.847192133955601
241,-2.8471921339555997,-2.847192133955601
242,-2.8471921339556165,-2.847192133955601
243,-2.8471921339556046,-2.847192133955601
244,-2.8471921339556054,-2.847192133955601
245,-2.8471921339556028,-2.847192133955601
246,-2.8471921339555974,-2.847192133955601
247,-2.8471921339556148,-2.847192133955601
248,-2.847192133955613,-2.847192133955601
249,-2.8471921339556077,-2.847192133955601
250,-2.847192133955604,-2.847192133955601
251,-2.8471921339556028,-2.847192133955601
252,-2.8471921339556023,-2.847192133955601
